title,slug,parent_title,parent_slug,image_filename,midjourney_prompt
Costumes and fancy dress,costumes-and-fancy-dress,,,costumes-and-fancy-dress.png,"Costumes and fancy dress: 1920s flapper costume, Banana costume, and Chef costume. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Adult fancy dress,adult-fancy-dress,Costumes and fancy dress,costumes-and-fancy-dress,costumes-and-fancy-dress-adult-fancy-dress.png,"Adult fancy dress: 1920s flapper costume, Banana costume, and Chef costume in the costumes and fancy dress category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Kids fancy dress,kids-fancy-dress,Costumes and fancy dress,costumes-and-fancy-dress,costumes-and-fancy-dress-kids-fancy-dress.png,"Kids fancy dress: Astronaut costume, Dinosaur costume, and Doctor costume in the costumes and fancy dress category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Mascots and character suits,mascots-and-character-suits,Costumes and fancy dress,costumes-and-fancy-dress,costumes-and-fancy-dress-mascots-and-character-suits.png,"Mascots and character suits: Bear mascot suit, Character head and paws set, and Chicken mascot suit in the costumes and fancy dress category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Costume accessories and props,costume-accessories-and-props,Costumes and fancy dress,costumes-and-fancy-dress,costumes-and-fancy-dress-costume-accessories-and-props.png,"Costume accessories and props: Animal tail set, Cape bundle, and Cowboy hat and holster set in the costumes and fancy dress category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Themed group costumes,themed-group-costumes,Costumes and fancy dress,costumes-and-fancy-dress,costumes-and-fancy-dress-themed-group-costumes.png,"Themed group costumes: ABBA tribute group costume set, Circus troupe costume set, and Construction crew costume set in the costumes and fancy dress category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Event hire,event-hire,,,event-hire.png,"Event hire: DJ controller, Karaoke machine, and Lighting bar. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Marquees and shelters,marquees-and-shelters,Event hire,event-hire,event-hire-marquees-and-shelters.png,"Marquees and shelters: Clearspan marquee, Entrance matting, and Event flooring in the event hire category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Event furniture,event-furniture,Event hire,event-hire,event-hire-event-furniture.png,"Event furniture: Bar stools, Chiavari chairs, and Coat rail in the event hire category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Catering equipment,catering-equipment,Event hire,event-hire,event-hire-catering-equipment.png,"Catering equipment: Candy floss machine, Chafing dish set, and Coffee urn in the event hire category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
