stage_number,status_code,status_label,actor_or_owner,action_or_decision,next_action_or_expected_outcome,no_action_current_behavior,no_action_gap_or_policy_note,implementation_source
1,RENQ,Discussion,lender,agree_rental,Move to RENTAL_AGREED and reserve booking dates,Auto-cancel at end of rental start day if the booking never progresses,Implemented at day-end cancellation; keep an eye on reminder copy and any stale-enquiry cleanup,transaction/views.py; transaction/models.py; transaction/tasks.py
1,RENQ,Discussion,lender,reject_enquiry,Move to CANCEL_ACCEPTED and release booking dates,No automatic follow-up required,Policy is clear enough for now,transaction/views.py; transaction/models.py
1,RENQ,Discussion,borrower or lender,request_cancellation,Move to CANCEL_ACCEPTED and release booking dates,No automatic follow-up required,Consider whether self-service cancellation should be time-limited,transaction/views.py; mobile_api/views.py
2,RAGR,Agreement,lender,confirm_lender_contract,Set lender_agreed_at and start borrower confirmation window,Reminder nudges exist; borrower has up to 24 hours or until rental start cutoff,Define what happens after timeout if borrower never confirms,transaction/views.py; transaction/tasks.py; mobile_api/views.py
2,RAGR,Agreement,lender,reinitiate_lender_contract,Reset lender_agreed_at and restart borrower confirmation window if expired,If deadline has not expired, reinitiate is blocked,Need clearer policy for repeated re-sends and maximum retries,transaction/views.py; mobile_api/views.py
2,RAGR,Agreement,borrower,confirm_renter_contract,Set renter_agreed_at and progress toward card setup/start,Reminder nudges exist for first signer and counterparty,Define whether borrower can still act after partial expiry if lender signed late,transaction/views.py; transaction/tasks.py; mobile_api/views.py
2,RAGR,Agreement,borrower,reject_rental_agreement,Move to CANCEL_ACCEPTED and release booking dates,No automatic follow-up required,Consider whether rejection should capture reason and whether lender can rebut,transaction/views.py; mobile_api/views.py
2,RAGR,Agreement,borrower,add_deposit_card / use_existing_card / confirm_stripe_card,Prepare deposit card setup before rental start,No timeout task specific to card setup; state can linger in agreed status,Define card-setup expiry and whether overdue setup should cancel or pause the booking,transaction/views.py; mobile_api/views.py
3,RDAYAWV,Checkout verification,borrower,submit_checkout_borrower_evidence,Attach borrower video evidence and potentially generate PIN,No auto-expiry beyond the broader rental start cutoff,Define what happens if borrower evidence is never submitted,transaction/views.py; mobile_api/views.py
3,RDAYAWV,Checkout verification,lender,confirm_checkout_evidence / verify_checkout_handover_pin,Move to RENTAL_ONGOING once payment, deposit, and PIN are valid,No extra action if the day ends without progress; booking is auto-cancelled,Implemented as day-end cancellation with no deposit or fee collection,transaction/views.py; mobile_api/views.py; transaction/tasks.py
4,RONG,Ongoing,borrower,submit_return_borrower_evidence,Move to RENTAL_RETURN_DAY_AWAITING_VERIFICATION and start return-day review,No dedicated timeout task for the evidence phase itself,Define whether missing evidence delays return, or whether lender can push to dispute after a grace period,transaction/views.py; mobile_api/views.py
5,RRTDAYAWV,Return verification,lender,confirm_return_evidence / submit_lender_return_evidence,Prepare return PIN and lender counter-evidence,Reminder nudges now escalate to lender by end of day if they do not respond,Implemented reminder path; auto-escalation still needs a firm end-state if lender ignores it,transaction/views.py; transaction/tasks.py; mobile_api/views.py
5,RRTDAYAWV,Return verification,borrower,verify_return_handover_pin,Move to RENTAL_RETURNED_DEPOSIT_PENDING,Reminder nudges exist for return PIN verification and should keep pushing while the day is open,Define grace period and escalation path if borrower never verifies return,transaction/views.py; transaction/tasks.py; mobile_api/views.py
6,RRTDPEND,Deposit review,lender,propose_deposit_return,Stay in deposit review with iteration count incremented,Reminder nudges now prompt the borrower to respond by end of day,Implemented borrower reminder path; still need a final policy for silent lender/borrower deadlock,transaction/views.py; mobile_api/views.py; transaction/tasks.py
6,RRTDPEND,Deposit review,borrower,agree_deposit_return,Move to AWAITING_FEEDBACK and resolve deposit hold,No action needed once accepted,Define whether any late counterclaim remains allowed after acceptance,transaction/views.py; mobile_api/views.py
6,RRTDPEND,Deposit review,borrower,contest_deposit_return,Move to contested deposit state or dispute after cap,If max iterations reached, auto-escalate to dispute,Need explicit policy for silence after a contest when lender does not respond,transaction/views.py; transaction/tasks.py; mobile_api/views.py
6,RRTDPEND;RRTDCON;DREQ,Deposit dispute,lender or borrower,raise_deposit_dispute_admin / secure_dispute_funds,Escalate to admin review and optionally secure funds,Manual admin review remains required,Disputes now escalate to external arbitration language in T&Cs, but the formal dispute case model and SLA timers still need implementation,transaction/views.py; mobile_api/views.py; pages/templates/pages/terms_and_conditions.html; transaction/templates/transaction/rental_tcs_modal.html
7,AWFB,Feedback,borrower or lender,submit_feedback,Move to FEEDBACK_ONE_SIDED or RENTAL_PROCESS_COMPLETED,Reminder nudges continue until feedback window expires,Define whether a no-action feedback expiry should always close as completed or preserve a one-sided marker,transaction/views.py; transaction/tasks.py; mobile_api/views.py
7,FEEDBACK_ONE_SIDED,Feedback,borrower or lender,submit_feedback,Move to RENTAL_PROCESS_COMPLETED if the other side has also submitted,Reminder nudges continue until auto-close,Define whether a second feedback is allowed after window expiry,transaction/views.py; transaction/tasks.py; mobile_api/views.py
7,FEEDBACK_ONE_SIDED,Feedback,system,auto_close_feedback_windows,Move to RENTAL_PROCESS_COMPLETED_ONE_SIDED or RENTAL_PROCESS_COMPLETED_NO_FEEDBACK,Current task handles this automatically,Policy is mostly implemented; ensure mobile/web messaging stays aligned,transaction/tasks.py; transaction/models.py
CACK,CANCEL_ACCEPTED,Cancelled due to missing rental,borrower,submit_feedback,Allow borrower-only feedback on a voided rental,No lender feedback allowed on this path,Confirm whether lender rebuttal evidence is allowed before or after void,transaction/views.py; mobile_api/views.py; transaction/tests.py
CACK,CANCEL_ACCEPTED,Cancelled due to missing rental,system,auto_cancel_overdue_first_day_bookings,Void overdue first-day bookings and recalculate pending stats,Current task cancels overdue first-day bookings automatically,Decide whether this should also create a dispute case or just remain voided,transaction/tasks.py; transaction/tests.py
6,RRTDPEND;RRTDCON;DREQ,Deposit dispute,lender or borrower,raise_deposit_dispute_admin / secure_dispute_funds,Escalate to dispute team review and optionally secure funds,Manual review still exists but the case model and review screen now exist,Need stronger SLA automation and evidence enforcement at every requested step,transaction/views.py; mobile_api/views.py; transaction/admin.py; transaction/templates/transaction/dispute_case_review.html
DREQ,DDEC,Dispute decision reached,dispute team/admin,resolve_lender / resolve_borrower / resolve_split / resolve_void / resolve_refund / resolve_other,Settle deposit and refund/offset payment via Stripe; partial refund is used when possible,Transaction is marked dispute decision reached and closed,Need tighter accounting audit fields and explicit SLA resolution deadlines,transaction/views.py; transaction/stripe_connect.py; transaction/templates/transaction/dispute_case_review.html
TEST,SEED,Scenario seed,developer tooling,seed_named_scenarios,Create repeatable fixtures for web/mobile/Stripe walkthroughs,No shared scenario set yet,Add a small harness that can reset and reseed safely without overwriting real data,docs/transaction_flow_matrix.csv; management command; fixture loader
TEST,WEB,Web walkthrough,qa / developer,open_listing_and_transaction_flow,Walk seeded scenarios through website transaction pages,Manual only today,Need a checklist for each scenario with expected page/state checkpoints,common/templates/base.html; transaction/templates/transaction/*
TEST,MOB,Mobile walkthrough,qa / developer,open_listing_and_transaction_flow,Walk seeded scenarios through mobile listing and transaction screens,Manual only today,Need the same scenario identifiers and expected states as the web checklist,rentalution_mobile/lib/src/screens/*
TEST,STRIPE,Stripe test mode,qa / developer,run_test_mode_charge_and_webhook,Observe setup intents, payment methods, charges, and webhook deliveries in sandbox,Partially visible through logs only,Need Stripe CLI plus dashboard event checks and a canonical event log page,transaction/stripe_connect.py; transaction/views.py; Stripe dashboard; Stripe CLI
